Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1001,Human Resources,51,63556,10,35.2,85.0,Yes
1002,Customer Support,41,56701,16,37.2,78.2,Yes
1003,Operations,31,63490,10,50.0,71.4,Yes
1004,Finance,42,92795,8,42.0,46.9,No
1005,Engineering,33,95450,4,35.8,82.2,No
1006,Engineering,31,68241,3,44.9,82.0,No
1007,Sales,26,59716,6,47.1,71.1,No
1008,IT,22,68978,5,40.6,77.0,Yes
1009,Finance,34,106885,8,41.9,58.3,No
1010,Operations,39,67822,5,44.9,71.7,No
1011,Sales,37,93487,16,48.0,87.9,Yes
1012,Customer Support,33,53859,11,38.3,84.5,Yes
1013,IT,28,72619,11,43.3,97.5,Yes
1014,Engineering,44,99765,3,48.7,75.5,Yes
1015,Engineering,24,73690,7,40.9,60.1,No
1016,Engineering,45,114507,5,52.8,61.2,No
1017,Engineering,27,96254,5,49.3,95.4,Yes
1018,Marketing,30,69560,3,39.1,56.1,Yes
1019,Marketing,23,68680,7,49.2,68.3,Yes
1020,Engineering,32,74238,3,39.9,65.8,Yes
1021,Finance,47,93874,7,52.8,82.6,Yes
1022,Sales,43,78082,7,44.0,100.0,Yes
1023,Engineering,47,112884,5,44.1,80.7,Yes
1024,Human Resources,43,62162,1,42.0,59.1,No
1025,Marketing,26,68343,8,39.5,100.0,Yes
1026,Operations,34,55062,12,45.8,75.9,Yes
1027,Engineering,30,84542,5,46.6,79.2,Yes
1028,Marketing,51,98279,2,41.3,61.2,No
1029,Finance,26,50246,11,44.0,75.6,No
1030,Sales,46,120223,6,48.2,100.0,No
1031,Finance,46,94603,8,38.6,81.2,Yes
1032,Engineering,56,83827,6,42.3,64.4,Yes
1033,Sales,33,77392,8,50.0,72.5,Yes
1034,Customer Support,45,64069,7,36.9,65.7,No
1035,Customer Support,60,75560,9,40.4,100.0,No
1036,IT,31,94593,5,34.4,69.6,No
1037,Engineering,22,80962,4,42.4,81.1,Yes
1038,Sales,22,65188,11,44.4,87.9,Yes
1039,Operations,45,80064,12,44.2,60.9,No
1040,Marketing,22,56304,9,40.3,68.1,No
1041,Sales,34,97253,10,49.9,67.4,No
1042,Marketing,42,61627,5,37.4,83.0,Yes
1043,Sales,39,84534,9,43.6,84.5,Yes
1044,IT,42,98148,7,37.9,71.7,No
1045,Engineering,40,109955,1,36.7,68.2,No
1046,Operations,50,69873,10,43.7,78.4,No
1047,Engineering,28,59962,5,38.2,89.1,Yes
1048,Marketing,31,68678,7,42.0,78.3,Yes
1049,Marketing,30,68784,10,42.1,91.1,Yes
1050,Engineering,46,130174,7,42.6,92.0,Yes
1051,Customer Support,47,52978,7,40.3,77.2,Yes
1052,Operations,42,84470,11,34.7,88.1,Yes
1053,Customer Support,49,90995,15,44.0,100.0,Yes
1054,IT,26,71316,3,40.8,91.1,Yes
1055,Finance,54,88054,4,45.7,77.9,No
1056,Customer Support,53,66243,12,34.0,82.9,Yes
1057,Sales,45,90189,10,39.9,80.0,Yes
1058,Engineering,55,129063,13,44.0,74.2,No
1059,Sales,22,56864,5,47.9,88.4,No
1060,Engineering,32,107048,7,37.1,96.3,Yes
1061,Human Resources,30,44972,4,42.4,81.9,No
1062,Engineering,45,77607,6,44.8,91.7,Yes
1063,IT,27,89724,11,43.5,100.0,Yes
1064,Human Resources,45,44469,3,40.6,75.4,Yes
1065,Engineering,51,109927,3,43.2,65.9,No
1066,Marketing,44,119466,3,47.8,55.5,No
1067,Sales,40,83848,10,42.7,59.4,No
1068,IT,28,65136,4,44.5,84.3,Yes
1069,Sales,29,70190,11,46.7,60.4,No
1070,Customer Support,50,67481,8,32.5,65.4,Yes
1071,Operations,45,76807,9,38.3,87.4,No
1072,Engineering,37,103118,8,42.7,71.1,Yes
1073,Sales,33,63816,11,38.6,77.4,Yes
1074,IT,22,87969,11,31.4,100.0,Yes
1075,Operations,27,59095,6,57.2,76.3,No
1076,Operations,57,96484,19,40.1,69.3,No
1077,Operations,25,49817,9,47.7,91.3,Yes
1078,Sales,39,98776,7,45.9,80.4,Yes
1079,Human Resources,48,67493,4,49.3,70.8,Yes
1080,Sales,25,68747,7,52.6,81.6,Yes
1081,IT,39,80112,13,43.2,98.2,Yes
1082,Finance,47,85131,4,37.3,86.0,Yes
1083,Engineering,38,105027,7,48.1,94.9,Yes
1084,Sales,65,106414,12,40.0,96.7,Yes
1085,Engineering,22,63476,4,46.3,77.7,Yes
1086,Engineering,48,98664,4,38.0,64.6,Yes
1087,Operations,36,72919,9,42.0,74.0,No
1088,Finance,45,88300,6,52.3,71.5,No
1089,IT,42,95484,5,42.0,100.0,Yes
1090,Marketing,30,66148,5,37.9,72.6,No
1091,Sales,40,59841,9,44.1,100.0,Yes
1092,Operations,22,40525,13,45.0,82.4,Yes
1093,Operations,44,77732,8,40.6,99.5,Yes
1094,Finance,40,80939,9,45.6,81.6,No
1095,Operations,44,85729,16,40.7,100.0,Yes
1096,Marketing,48,98242,13,32.4,93.4,Yes
1097,Marketing,41,86525,8,40.1,97.0,Yes
1098,Human Resources,39,79051,3,37.6,78.2,No
1099,Sales,29,69917,6,45.6,100.0,Yes
